Designator,Mid X,Mid Y,Rotation,Layer
R54,58.434,-32.65,0.0,top
R55,64.45,-32.69,0.0,top
R56,82.87,-44.54,0.0,top
R57,64.43,-34.99,0.0,top
R58,2.56,-39.64,270.0,top
R59,53.68,-71.69,0.0,top
R6,40.9,-75.61,270.0,top
R60,87.376,-42.291,270.0,top
R61,16.74,-40.74,180.0,top
R62,16.74,-44.19,180.0,top
R63,68.465,-61.355,270.0,top
R64,84.24,-37.07,0.0,top
R65,82.804,-48.895,180.0,top
R66,64.373,-30.48,180.0,top
R67,84.312,-51.181,0.0,top
R69,65.76,-10.1,270.0,top
R7,53.26,-55.75,180.0,top
R71,91.97,-48.17,90.0,top
R8,4.16,-66.31,0.0,top
R9,49.95,-71.895,0.0,top
U1,58.98,-59.04,270.0,top
U10,63.4644,-6.32,180.0,top
U2,38.02,-17.96,270.0,top
U3,22.98,-22.63,270.0,top
U4,70.5525,-23.67,90.0,top
U5,84.709,-33.528,180.0,top
U6,40.69,-33.64,180.0,top
U7,38.46,-65.705,0.0,top
U9,3.29,-64.36,180.0,top
Y1,29.67,-76.33,180.0,top
Y2,10.23,-18.44,90.0,bottom
Y3,10.22,-18.5,270.0,top
